Distance_(pixels),Gray_Value
0,90.6241
1,89.8014
2,92.7589
3,92.4184
4,95.1135
5,93.2128
6,98.3192
7,93.0567
8,98.4326
9,95.3333
10,98.8014
11,96.6525
12,95.3404
13,100.6950
14,100.6879
15,100.7163
16,102.5674
17,101.0993
18,105.0709
19,104.6525
20,103.9716
21,106.4539
22,108.7021
23,108.2695
24,108.5532
25,107.5177
26,111.9787
27,108.1702
28,107.1986
29,112.5674
30,113.3972
31,112.0426
32,109.1418
33,107.7234
34,117.7234
35,118.6596
36,115.5035
37,113.6738
38,116.4681
39,115.1702
40,103.8511
41,114.3404
42,117.2695
43,109.4610
44,118.0213
45,107.5035
46,105.8156
47,105.4255
48,97.8298
49,95.9716
50,108.7092
51,108.6809
52,103.9858
53,103.6596
54,101.7021
55,94.4043
56,93.3901
57,102.5319
58,96.3121
59,100.0851
60,105.7021
61,91.4681
62,92.9858
63,90.2128
64,91.2482
65,90.6383
66,89.3192
67,86.2837
68,89.6950
69,89.8723
70,88.1702
71,86.4965
72,85.5957
73,82.7234
74,82.3830
75,81.8865
76,79.9291
77,79.9433
78,79.4397
79,77.1348
80,79.0142
