Distance_(pixels),Gray_Value
0,76.9055
1,78.2090
2,78.3582
3,80.8259
4,80.2338
5,80.2090
6,82.6517
7,83.6866
8,82.4776
9,85.8060
10,87.3582
11,86.3532
12,86.7761
13,89.7463
14,89.7463
15,88.4129
16,90.0547
17,93.9453
18,95.2736
19,92.6269
20,95.3284
21,98.4428
22,97.7264
23,97.8060
24,100.6269
25,104.4478
26,105.5025
27,102.9055
28,102.5025
29,104.1045
30,103.7662
31,104.6418
32,104.9055
33,105.7363
34,108.1144
35,111.9453
36,107.9801
37,109.9701
38,110.7612
39,112.8756
40,114.4876
41,114.9304
42,115.6468
43,116.7413
44,116.7463
45,113.4677
46,110.8159
47,115.1891
48,119.6915
49,119.1542
50,117.0149
51,112.8358
52,115.1144
53,109.3682
54,111.9502
55,108.1592
56,107.9204
57,110.7711
58,108.1692
59,107.5075
60,106.7960
61,106.8607
62,108.5821
63,103.5970
64,100.7512
65,103.8905
66,102.5622
67,101.4030
68,97.9005
69,97.4030
70,95.9801
71,94.6567
72,96.8109
73,98.6468
74,94.7463
75,94.3831
76,96.0000
77,94.0995
78,91.7711
79,92.7711
80,91.9851
81,92.1194
82,90.3383
83,89.4527
84,86.8209
85,86.5970
86,86.4527
87,86.8806
88,85.7313
89,86.4627
90,86.2886
91,88.9851
92,87.2488
93,85.6219
