Distance_(pixels),Gray_Value
0,66.3990
1,72.6717
2,63.4798
3,83.4646
4,63.5253
5,77.4596
6,68.5101
7,77.6465
8,79.2222
9,78.7929
10,73.0202
11,90.2879
12,72.8788
13,91.7071
14,80.0808
15,80.2222
16,83.9444
17,87.9192
18,76.0808
19,95.8131
20,91.1919
21,84.6111
22,89.4343
23,101.1616
24,87.4798
25,94.2374
26,93.1061
27,106.6364
28,82.3788
29,103.7323
30,97.6212
31,98.2576
32,105.3333
33,95.5606
34,95.5909
35,113.4596
36,97.3030
37,108.2929
38,104.2172
39,107.1515
40,117.5505
41,105.7020
42,98.5202
43,120.6566
44,92.9747
45,113.7374
46,111.5909
47,111.9091
48,112.4040
49,117.3333
50,102.9242
51,114.3586
52,124.2980
53,98.3131
54,114.3990
55,123.4545
56,90.6162
57,113.5303
58,118.0657
59,106.4646
60,110.0404
61,106.7121
62,101.7879
63,108.3535
64,119.7273
65,111.5051
66,100.5051
67,116.0707
68,89.0303
69,109.1212
70,106.7525
71,104.6768
72,95.7071
73,113.0051
74,95.2172
75,109.5000
76,105.8737
77,94.9293
78,94.2121
79,101.5859
80,100.9495
81,108.1818
82,89.8838
83,93.1364
84,91.6212
85,86.5404
86,91.2121
87,94.9091
88,91.8990
89,80.2172
90,86.4596
91,98.2121
92,78.7980
93,83.7071
94,87.1515
95,82.6919
96,74.3586
97,79.6364
98,82.1667
99,78.5253
100,79.3636
101,82.9293
102,78.2576
103,81.1111
104,78.9343
105,75.3535
106,77.4343
107,78.2576
108,68.9899
109,71.2929
110,77.0152
111,73.0556
112,70.8030
113,73.1869
114,64.7273
115,76.9192
116,68.5606
