Distance_(pixels),Gray_Value
0,73.1869
1,86.2727
2,71.1869
3,99.3485
4,68.1818
5,96.6818
6,77.0000
7,98.8788
8,90.2879
9,92.1212
10,84.6111
11,104.1919
12,76.0960
13,119.8131
14,81.2424
15,93.4444
16,99.2273
17,96.9293
18,96.0303
19,104.1111
20,119.4646
21,88.3687
22,102.4899
23,100.4747
24,100.2980
25,98.6111
26,102.0606
27,111.2980
28,108.5606
29,117.6313
30,108.3939
31,110.9495
32,102.1616
33,105.0000
34,94.4444
35,114.5354
36,94.1465
37,120.1212
38,99.1414
39,112.8384
40,108.6717
41,129.5354
42,116.1111
43,108.1616
44,115.2172
45,109.6768
46,114.3636
47,108.1869
48,113.9192
49,109.9343
50,98.0051
51,109.4646
52,110.0606
53,99.4949
54,111.7525
55,105.4293
56,102.7273
57,120.7980
58,82.6465
59,106.9293
60,102.0253
61,84.5354
62,110.2273
63,109.8586
64,92.1717
65,98.3232
66,101.8434
67,99.2677
68,74.6313
69,124.8131
70,79.1465
71,105.3990
72,93.7727
73,82.9394
74,96.6162
75,96.7879
76,71.1465
77,107.0303
78,69.6414
79,89.2879
80,91.0000
81,99.7222
82,78.5404
83,87.6768
84,84.7374
85,79.4949
86,83.1313
87,87.0707
88,76.4596
89,87.8182
90,72.9899
91,73.8737
92,74.5657
