Distance_(pixels),Gray_Value
0,81.6308
1,83.6718
2,82.4872
3,83.6000
4,85.7231
5,86.5744
6,83.8103
7,91.7692
8,88.7795
9,89.2974
10,88.6154
11,89.9231
12,93.1846
13,95.1333
14,93.9846
15,96.7949
16,96.4256
17,100.6513
18,94.9949
19,97.0205
20,101.3590
21,103.3949
22,101.8205
23,103.8051
24,96.3026
25,105.2410
26,112.6103
27,107.0615
28,115.5897
29,110.5333
30,109.0821
31,114.9436
32,116.1846
33,110.5077
34,113.3282
35,116.4205
36,117.4769
37,118.7385
38,123.5846
39,108.5487
40,110.4718
41,119.5641
42,112.8872
43,114.1538
44,126.5077
45,123.3128
46,119.2718
47,117.6821
48,118.1026
49,128.8923
50,112.9333
51,123.1333
52,118.7026
53,117.1487
54,124.8564
55,119.0359
56,116.8718
57,115.3231
58,110.2308
59,109.7897
60,108.3590
61,112.8667
62,100.4667
63,115.0667
64,95.6615
65,111.0308
66,109.0000
67,94.3385
68,101.0256
69,97.7590
70,96.3897
71,98.3949
72,90.3231
73,101.0410
74,90.4615
75,82.2974
76,93.3179
77,88.3692
78,90.2410
79,83.0974
80,83.7795
81,87.7744
82,85.0872
83,84.4974
84,82.6513
85,81.5744
86,76.2410
87,79.7897
88,78.8769
89,84.2359
90,79.6308
91,81.7077
92,79.2359
93,80.4410
