Distance_(pixels),Gray_Value
0,84.8333
1,91.8765
2,91.7963
3,92.2840
4,93.0988
5,96.0494
6,95.3951
7,95.9815
8,92.0247
9,100.6111
10,103.3086
11,104.5370
12,103.5000
13,104.7160
14,101.0494
15,104.7593
16,100.3025
17,103.5370
18,108.7407
19,108.8519
20,108.9259
21,110.7531
22,119.2284
23,120.5741
24,117.1728
25,122.7716
26,120.6667
27,119.0864
28,123.1296
29,122.7284
30,121.9136
31,128.8210
32,135.2840
33,131.1852
34,130.3025
35,137.2160
36,110.0309
37,133.3272
38,136.6049
39,130.6852
40,135.3457
41,143.0247
42,134.9383
43,137.9383
44,124.6235
45,138.1975
46,137.0123
47,132.8580
48,136.3951
49,139.0432
50,133.1543
51,135.0247
52,125.9506
53,136.8333
54,130.2531
55,120.3704
56,123.8457
57,131.0000
58,127.2901
59,127.3086
60,115.2469
61,119.4259
62,116.9815
63,109.7469
64,116.2531
65,117.8457
66,116.3272
67,116.9074
68,112.2593
69,102.0679
70,100.9938
71,95.6605
72,99.6852
73,103.4753
74,99.9383
75,97.5494
76,94.6049
77,96.7593
78,94.6790
79,87.8642
80,84.6667
81,88.5309
82,90.7840
83,90.1173
84,88.1914
85,87.4568
86,85.4259
87,87.4136
88,86.4012
89,86.4259
90,84.8086
