Distance_(pixels),Gray_Value
0,36.064
1,42.550
2,39.301
3,45.502
4,36.727
5,40.153
6,37.470
7,38.876
8,35.671
9,36.177
10,36.048
11,38.088
12,34.751
13,40.153
14,36.313
15,38.221
16,42.526
17,41.871
18,40.161
19,43.582
20,36.687
21,39.116
22,39.076
23,45.418
24,36.466
25,45.249
26,46.116
27,48.293
28,45.410
29,51.189
30,53.173
31,52.984
32,57.819
33,54.482
34,59.719
35,57.245
36,57.104
37,55.847
38,60.598
39,61.273
40,59.474
41,63.020
42,64.622
43,63.229
44,61.245
45,66.333
46,64.470
47,64.402
48,61.550
49,67.414
50,67.735
51,68.072
52,64.823
53,69.731
54,68.305
55,72.755
56,65.353
57,71.285
58,73.703
59,67.960
60,67.892
61,69.048
62,70.213
63,70.880
64,65.157
65,74.438
66,67.185
67,79.791
68,70.169
69,76.534
70,75.044
71,77.920
72,75.357
73,80.096
74,73.225
75,84.048
76,75.281
77,84.036
78,82.478
79,83.851
80,81.663
81,87.418
82,81.655
83,94.843
84,79.988
85,92.410
86,85.888
87,90.157
88,85.699
89,89.618
90,88.277
91,93.510
92,83.851
93,92.534
94,90.080
95,94.422
96,95.643
97,100.863
98,93.643
99,112.040
100,103.337
101,99.261
102,103.153
103,111.799
104,95.980
105,107.735
106,108.538
107,106.353
108,106.554
109,122.337
110,110.799
111,118.570
112,115.165
113,117.912
114,118.458
115,116.554
116,129.410
117,127.402
118,111.092
119,131.494
120,125.406
121,121.755
122,120.088
123,141.145
124,140.369
125,135.390
126,139.739
127,146.667
128,129.831
129,138.076
130,136.442
131,145.008
132,133.968
133,135.510
134,136.157
135,140.582
136,146.060
137,143.944
138,137.169
139,141.944
140,135.940
141,145.936
142,120.896
143,131.430
144,144.795
145,128.699
146,135.803
147,137.566
148,140.526
149,138.430
150,128.759
151,134.096
152,127.980
153,142.711
154,112.631
155,138.606
156,127.462
157,136.759
158,130.859
159,127.474
160,129.992
161,138.715
162,115.574
163,137.257
164,127.675
165,133.755
166,128.735
167,127.112
168,122.124
169,120.104
170,124.217
171,126.169
172,120.831
173,114.040
174,112.671
175,116.177
176,113.731
177,106.498
178,114.735
179,102.771
180,109.044
181,99.112
182,97.956
183,98.647
184,100.944
185,95.562
186,93.257
187,91.594
188,95.221
189,84.956
190,85.719
191,89.137
192,80.944
193,90.896
194,75.446
195,76.968
196,78.414
197,78.598
198,72.506
199,73.177
200,72.751
201,72.253
202,67.880
203,69.518
204,71.108
205,71.510
206,65.221
207,65.719
208,64.968
209,65.337
210,65.819
211,62.490
212,60.020
213,57.763
214,57.133
215,61.763
216,54.309
217,57.422
218,55.237
219,58.683
220,50.466
221,54.912
222,52.185
223,57.365
224,49.594
225,52.116
226,53.120
227,51.361
228,49.639
229,50.141
230,51.165
231,50.036
232,47.161
233,47.530
234,47.876
235,51.655
236,43.036
237,47.012
238,44.181
