Distance_(pixels),Gray_Value
0,67.6667
1,68.1306
2,68.5315
3,69.4865
4,70.2207
5,70.5360
6,70.9550
7,71.5811
8,72.1216
9,72.6306
10,73.3739
11,74.3559
12,75.1847
13,76.3513
14,76.8649
15,77.7748
16,78.6351
17,79.3964
18,79.7883
19,80.3243
20,80.6126
21,81.8333
22,82.2477
23,83.0586
24,83.7162
25,84.4595
26,85.1171
27,85.7297
28,86.0676
29,86.9550
30,87.4504
31,88.3423
32,88.9820
33,89.5856
34,90.9189
35,92.9505
36,94.5541
37,96.3784
38,97.6081
39,97.6261
40,98.3063
41,99.6532
42,100.4550
43,101.9459
44,103.0766
45,104.7342
46,105.8874
47,108.0090
48,110.1712
49,111.5946
50,112.1396
51,113.6396
52,115.2027
53,116.5676
54,117.8198
55,120.9324
56,122.3964
57,124.7072
58,127.9685
59,129.9865
60,130.8829
61,130.9324
62,131.3919
63,133.2838
64,133.8739
65,133.3153
66,133.5000
67,134.5991
68,134.3919
69,133.1892
70,133.3018
71,133.5721
72,135.0225
73,136.8739
74,137.6036
75,138.0856
76,138.4324
77,137.0811
78,135.8108
79,135.2387
80,135.9279
81,137.3559
82,137.4775
83,136.7432
84,136.0631
85,136.1847
86,135.8559
87,134.5901
88,134.4369
89,135.6441
90,134.6757
91,132.7027
92,132.5721
93,133.8198
94,134.3559
95,133.1577
96,131.9820
97,132.2162
98,131.5315
99,130.6216
100,131.1532
101,132.2703
102,130.6261
103,129.9144
104,129.4730
105,127.6532
106,127.3423
107,128.3964
108,127.6802
109,125.1487
110,122.5721
111,120.5901
112,119.6847
113,118.5270
114,117.5405
115,116.5496
116,114.4234
117,111.5676
118,109.1351
119,106.5360
120,104.8378
121,104.2793
122,103.7477
123,102.5496
124,100.7342
125,99.1982
126,98.1171
127,96.4640
128,95.3063
129,93.6171
130,91.4459
131,89.9865
132,88.3919
133,86.7027
134,85.4099
135,83.9414
136,82.5135
137,81.3153
138,80.4459
139,79.7523
140,78.7477
141,77.2027
142,76.0991
143,74.6081
144,72.6532
145,71.0000
146,69.7297
147,68.6847
148,67.8423
149,66.3604
150,64.8784
151,63.5135
152,62.5766
153,61.9730
154,60.7793
155,59.5045
