Distance_(pixels),Gray_Value
0,55.3565
1,55.5046
2,56.0463
3,56.1250
4,59.4815
5,57.2083
6,57.9306
7,58.1204
8,61.6389
9,59.6296
10,64.2454
11,61.5463
12,63.6898
13,63.2546
14,64.6713
15,64.9676
16,68.4306
17,68.2917
18,70.4722
19,69.2130
20,71.1898
21,69.3565
22,70.3565
23,71.3148
24,71.4676
25,68.8009
26,74.2593
27,72.5278
28,75.0093
29,75.7870
30,75.9444
31,75.9028
32,77.5509
33,75.4167
34,80.1065
35,78.2870
36,80.2130
37,79.9861
38,79.9583
39,80.4815
40,82.2407
41,81.6204
42,84.6389
43,82.6019
44,83.9398
45,84.1713
46,84.2870
47,84.6481
48,85.8380
49,86.3657
50,86.5880
51,87.9907
52,87.6713
53,86.1620
54,90.1019
55,89.4306
56,89.9444
57,89.5880
58,93.2731
59,92.4954
60,94.3194
61,93.3056
62,94.1296
63,95.4306
64,98.5926
65,99.1296
66,93.9954
67,101.4815
68,100.8241
69,101.0000
70,100.8704
71,103.4213
72,99.7176
73,98.7454
74,102.0370
75,101.0046
76,101.4815
77,101.5417
78,102.4815
79,97.9167
80,96.6019
81,94.2130
82,97.0556
83,93.6620
84,99.5000
85,90.6620
86,96.7176
87,85.7500
88,91.0093
89,89.9491
90,91.2963
91,89.5602
92,88.1343
93,85.8333
94,86.4444
95,86.1759
96,86.3472
97,85.5417
98,84.7222
99,82.4074
100,81.6620
101,80.6898
102,83.1019
103,80.6991
104,82.5139
105,80.9815
106,84.8796
107,81.2037
108,82.6574
109,81.8704
110,80.6296
111,79.5833
112,79.1713
113,81.4074
114,82.0787
115,78.1806
116,78.1528
117,75.3565
118,74.5556
119,73.0185
120,70.5000
121,70.3380
122,71.4167
123,66.5972
124,65.5509
125,63.5185
126,66.1019
127,64.7083
128,65.1481
129,65.8194
130,64.7500
131,62.7546
132,63.3889
133,60.1806
134,57.2685
135,55.2731
136,54.7870
137,49.6019
138,50.6713
139,48.1204
