Distance_(pixels),Gray_Value
0,18.6092
1,20.9425
2,22.6552
3,24.2471
4,25.7069
5,27.0172
6,27.6724
7,30.4655
8,34.0402
9,35.7759
10,36.4253
11,38.7069
12,40.2356
13,41.7299
14,43.3966
15,45.8506
16,47.2241
17,48.0000
18,48.0517
19,50.0862
20,50.7011
21,52.3333
22,53.3333
23,55.1379
24,55.2471
25,56.6264
26,56.7184
27,58.1782
28,58.6092
29,60.3218
30,60.7701
31,62.4310
32,62.2759
33,62.9023
34,63.2126
35,64.3908
36,65.1207
37,65.0000
38,65.0632
39,65.8908
40,67.1954
41,67.7126
42,68.1322
43,69.0977
44,69.3966
45,69.8908
46,70.6667
47,71.2011
48,71.2931
49,71.2069
50,72.1667
51,73.8161
52,73.9770
53,75.7989
54,76.6667
55,79.0460
56,80.4023
57,80.4368
58,81.3966
59,83.2874
60,83.4713
61,83.5977
62,83.8851
63,85.1264
64,86.9713
65,87.0517
66,86.9483
67,87.3161
68,88.6379
69,89.7989
70,89.7644
71,90.0575
72,90.0115
73,90.4943
74,90.9770
75,91.1494
76,89.9713
77,91.3046
78,91.4138
79,92.8678
80,92.4483
81,88.8391
82,87.5632
83,87.9138
84,88.0575
85,87.4770
86,86.2586
87,85.2816
88,83.3563
89,82.6839
90,82.5977
91,82.5920
92,80.3333
93,80.3046
94,79.3391
95,77.9425
96,75.8448
97,74.9023
98,74.3908
99,74.0575
100,72.9080
101,72.4253
102,70.6379
103,71.0345
104,71.3333
105,71.0920
106,70.8851
107,71.3563
108,71.5632
109,72.1034
110,71.3793
111,70.1897
112,68.6322
113,69.1379
114,69.3046
115,68.2931
116,65.7586
117,64.4080
118,62.5287
119,59.8333
120,57.3793
121,54.9598
122,51.7759
123,48.1092
124,45.6034
125,46.0230
126,46.2931
127,48.1149
128,48.7299
129,49.8103
130,46.9310
131,45.7126
132,43.1897
133,39.1494
134,34.5460
135,30.8391
136,28.1322
137,25.7816
138,24.9023
139,25.0115
140,27.1092
141,31.7644
142,32.2816
143,32.0115
144,30.5575
145,29.0517
146,27.8621
147,25.1034
148,22.5230
