Distance_(pixels),Gray_Value
0,64.1823
1,68.0990
2,65.1250
3,66.8438
4,72.6875
5,61.1250
6,59.0625
7,69.8438
8,56.6302
9,75.2031
10,62.7812
11,80.8125
12,67.0573
13,82.1250
14,72.7760
15,80.1719
16,79.4427
17,74.9167
18,76.6198
19,75.3229
20,72.1406
21,81.5833
22,69.9792
23,87.5885
24,83.0156
25,81.8698
26,84.4219
27,92.8646
28,90.1719
29,82.1719
30,91.8333
31,88.6771
32,78.8125
33,93.0000
34,78.9219
35,87.5104
36,80.8281
37,92.3229
38,87.0000
39,99.2760
40,89.0000
41,110.8177
42,103.2760
43,95.5625
44,99.0417
45,91.8802
46,96.9271
47,96.8958
48,107.4062
49,99.2500
50,119.7292
51,111.4062
52,109.1302
53,110.4323
54,108.1667
55,103.3594
56,109.3646
57,99.1615
58,111.9896
59,102.3854
60,108.4688
61,132.2448
62,114.1719
63,129.7396
64,117.0833
65,144.0469
66,114.3177
67,103.9375
68,123.8802
69,111.6667
70,121.3490
71,141.0885
72,133.3177
73,127.4531
74,126.6615
75,137.9583
76,144.4323
77,108.1458
78,118.3281
79,134.7708
80,118.3698
81,139.9531
82,120.5156
83,127.5156
84,135.9115
85,138.8438
86,110.2240
87,125.9740
88,124.0052
89,134.8229
90,105.4792
91,133.0208
92,124.6979
93,121.2448
94,112.6615
95,143.8438
96,111.7344
97,114.7656
98,119.2969
99,116.3802
100,95.7188
101,135.6771
102,127.5729
103,113.8802
104,116.6458
105,119.8281
106,127.7500
107,97.4479
108,118.0833
109,128.8125
110,114.2604
111,110.6875
112,117.1458
113,102.4948
114,117.0417
115,109.2500
116,96.6510
117,113.7031
118,98.7188
119,88.9583
120,107.1042
121,99.0156
122,98.7500
123,81.3229
124,86.2031
125,90.0000
126,86.0365
127,91.0208
128,84.3125
129,90.2135
130,84.2604
131,82.4844
132,84.5052
133,87.2240
134,85.2656
135,85.9792
136,83.5729
137,86.7969
138,74.4010
139,67.7031
140,87.5469
141,75.5260
142,68.8073
143,65.6615
144,62.4375
145,70.0625
146,64.0260
147,73.0781
148,57.9427
