Distance_(pixels),Gray_Value
0,33.159
1,29.007
2,28.744
3,28.796
4,27.496
5,27.630
6,26.048
7,27.293
8,27.485
9,29.337
10,29.804
11,31.589
12,31.681
13,31.226
14,32.770
15,32.370
16,31.548
17,32.159
18,32.044
19,33.178
20,33.263
21,34.519
22,34.937
23,37.922
24,36.026
25,42.156
26,39.059
27,42.830
28,42.681
29,43.963
30,43.815
31,46.719
32,45.767
33,49.585
34,47.756
35,49.967
36,50.185
37,51.285
38,50.630
39,51.422
40,52.133
41,50.726
42,50.759
43,53.330
44,53.074
45,55.341
46,55.519
47,58.019
48,56.893
49,59.022
50,56.726
51,58.219
52,57.363
53,59.000
54,58.574
55,57.711
56,58.748
57,56.474
58,56.059
59,57.163
60,55.867
61,58.033
62,58.389
63,61.867
64,60.259
65,66.078
66,64.207
67,67.356
68,66.211
69,67.370
70,66.163
71,68.515
72,68.904
73,69.233
74,68.863
75,70.996
76,71.356
77,73.093
78,73.581
79,76.630
80,76.481
81,77.559
82,76.630
83,78.956
84,79.307
85,79.937
86,80.863
87,81.615
88,80.619
89,81.807
90,81.593
91,82.385
92,81.267
93,87.256
94,82.389
95,86.281
96,86.715
97,92.819
98,92.152
99,98.722
100,87.311
101,101.315
102,94.737
103,102.133
104,98.893
105,105.852
106,103.107
107,109.081
108,107.022
109,101.615
110,111.715
111,113.485
112,113.411
113,111.285
114,115.463
115,116.226
116,122.193
117,120.663
118,125.819
119,128.600
120,125.226
121,129.615
122,126.993
123,139.141
124,130.637
125,137.237
126,131.930
127,133.433
128,142.356
129,123.881
130,134.733
131,146.867
132,133.441
133,141.489
134,138.374
135,141.185
136,133.870
137,146.759
138,137.415
139,138.026
140,134.293
141,134.907
142,138.907
143,137.030
144,143.889
145,140.341
146,133.456
147,144.878
148,133.619
149,135.004
150,141.581
151,143.907
152,138.456
153,142.130
154,137.430
155,140.519
156,141.656
157,139.974
158,137.315
159,139.367
160,137.478
161,137.311
162,132.326
163,137.926
164,141.837
165,142.696
166,138.452
167,136.278
168,136.848
169,137.781
170,134.107
171,135.059
172,133.889
173,134.648
174,134.493
175,134.481
176,131.015
177,124.074
178,125.385
179,130.026
180,121.819
181,124.041
182,124.493
183,120.867
184,117.119
185,117.874
186,111.830
187,113.004
188,107.441
189,106.374
190,103.726
191,109.841
192,105.881
193,104.093
194,103.767
195,102.804
196,95.130
197,97.089
198,96.393
199,93.911
200,92.096
201,99.493
202,93.863
203,87.804
204,87.663
205,83.541
206,88.019
207,82.415
208,81.937
209,77.826
210,75.300
211,76.611
212,73.170
213,71.956
214,70.870
215,68.841
216,68.552
217,69.711
218,67.230
219,65.978
220,63.526
221,64.270
222,62.741
223,62.596
224,61.863
225,63.030
226,61.015
227,61.437
228,61.196
229,61.319
230,60.070
231,57.433
232,55.089
233,56.122
234,54.659
235,56.322
236,54.285
237,56.789
238,53.219
239,53.889
240,52.452
241,56.893
242,53.578
243,56.707
244,57.233
245,58.022
246,54.444
247,54.270
248,52.652
249,56.707
250,50.285
