Distance_(pixels),Gray_Value
0,54.8732
1,55.9155
2,57.1549
3,58.3333
4,58.5634
5,58.9624
6,59.3099
7,60.1596
8,60.6667
9,60.9437
10,60.9531
11,61.9531
12,62.4648
13,63.5775
14,64.5916
15,65.4038
16,65.6854
17,66.2347
18,67.0141
19,67.9624
20,68.7700
21,69.6385
22,69.9624
23,70.1362
24,70.0939
25,70.4272
26,70.5305
27,71.4272
28,71.9906
29,72.9155
30,73.7324
31,74.6009
32,75.3427
33,75.8967
34,75.9437
35,76.6854
36,76.5352
37,76.9061
38,77.4554
39,78.2958
40,79.0141
41,79.7277
42,80.3239
43,81.1268
44,81.7324
45,82.3380
46,82.8263
47,83.2535
48,83.6901
49,84.3944
50,84.8028
51,85.8404
52,86.2253
53,86.7183
54,87.0563
55,87.7277
56,88.0939
57,89.0282
58,89.4272
59,90.6009
60,90.8404
61,91.6244
62,91.8545
63,92.0141
64,92.8028
65,93.7418
66,94.0000
67,94.4648
68,94.3052
69,94.6526
70,95.2066
71,96.1690
72,98.3333
73,100.2770
74,100.3427
75,100.6056
76,100.6197
77,100.7559
78,102.6338
79,104.9343
80,106.4131
81,108.1221
82,108.7230
83,108.8263
84,107.9812
85,107.8779
86,109.1455
87,109.0657
88,108.1972
89,109.5117
90,109.7793
91,109.7653
92,109.2441
93,107.2019
94,107.3474
95,109.5493
96,109.4084
97,108.7747
98,108.6432
99,109.0845
100,107.5493
101,105.4131
102,102.7042
103,103.2160
104,104.6385
105,104.2066
106,102.7700
107,103.1878
108,101.6432
109,100.4883
110,101.4366
111,102.8920
112,101.1502
113,102.2207
114,100.7653
115,100.8357
116,100.8873
117,99.7747
118,98.9108
119,99.4460
120,100.1080
121,101.2066
122,101.3474
123,100.2817
124,99.1455
125,98.5305
126,98.4836
127,97.6620
128,96.9906
129,96.5070
130,94.4836
131,93.8357
132,93.7606
133,93.5164
134,93.2207
135,92.5634
136,91.4366
137,90.3193
138,89.3052
139,88.6197
140,87.6901
141,86.4272
142,85.3193
143,84.7230
144,84.4648
145,83.9906
146,83.5164
147,82.7747
148,82.2019
149,81.7230
150,81.1455
151,80.3099
152,78.9437
153,77.5916
154,76.8122
