Distance_(pixels),Gray_Value
0,28.8660
1,28.8969
2,28.5223
3,28.3436
4,28.1546
5,28.2680
6,28.1340
7,27.9519
8,27.6942
9,27.3677
10,27.0034
11,26.7354
12,26.6907
13,26.6564
14,27.1100
15,27.7698
16,28.3162
17,29.1581
18,30.0584
19,31.1271
20,31.7560
21,33.0069
22,33.7388
23,35.0962
24,36.1890
25,36.9107
26,37.3230
27,38.1100
28,38.9175
29,39.7491
30,40.1718
31,41.1168
32,42.0756
33,42.7320
34,43.4227
35,44.6701
36,45.8076
37,46.9553
38,48.0069
39,49.0962
40,49.6907
41,50.4124
42,51.0103
43,51.3402
44,51.5017
45,51.6632
46,52.0722
47,52.5567
48,53.2440
49,53.9072
50,54.8041
51,55.7423
52,56.1134
53,56.7148
54,57.0619
55,57.6667
56,58.1959
57,58.7113
58,59.0893
59,59.5052
60,59.8007
61,59.9141
62,60.0241
63,60.4433
64,61.2096
65,61.8179
66,62.3024
67,62.9966
68,63.6735
69,64.0928
70,64.5601
71,65.3162
72,65.7801
73,66.2543
74,66.9485
75,67.8144
76,68.5395
77,69.4605
78,70.1821
79,70.9416
80,71.3265
81,71.5361
82,71.8935
83,72.2715
84,72.4124
85,72.8282
86,73.1890
87,73.9759
88,74.2715
89,74.9588
90,75.5326
91,76.4261
92,76.7869
93,77.4639
94,77.8213
95,78.4158
96,78.5498
97,78.8557
98,79.1478
99,79.7148
100,79.8591
101,81.4296
102,82.4330
103,83.9794
104,83.8419
105,85.2337
106,86.0103
107,86.9244
108,87.5670
109,89.2680
110,90.6598
111,90.9725
112,90.8179
113,92.9038
114,94.7079
115,95.2371
116,96.2852
117,98.5911
118,99.7938
119,101.4055
120,104.4364
121,104.8007
122,103.9725
123,104.0515
124,104.2509
125,104.0722
126,103.4296
127,103.0000
128,104.3574
129,105.8351
130,105.5739
131,105.0515
132,104.2818
133,105.0653
134,106.5155
135,104.9691
136,104.7423
137,104.6907
138,105.2440
139,106.3299
140,104.7801
141,103.8694
142,103.9313
143,104.1684
144,105.3093
145,105.3677
146,105.2337
147,104.6082
148,103.6323
149,103.1306
150,103.4983
151,104.2955
152,102.9897
153,104.0962
154,103.4536
155,102.4192
156,102.2887
157,102.7801
158,102.5395
159,102.4467
160,102.0069
161,100.8591
162,102.2028
163,101.5842
164,100.3471
165,99.0997
166,98.4124
167,99.0034
168,98.3368
169,97.1959
170,95.5979
171,94.3058
172,91.6701
173,91.4845
174,91.7457
175,89.4021
176,86.9347
177,86.9381
178,85.6186
179,83.7629
180,82.2268
181,82.0172
182,81.1924
183,80.5773
184,79.1134
185,78.1718
186,76.9107
187,76.5739
188,75.8797
189,75.9519
190,75.7010
191,74.2887
192,73.2680
193,72.8694
194,71.9485
195,71.4605
196,70.4742
197,69.0722
198,68.1718
199,67.0997
200,66.0344
201,64.7045
202,63.1718
203,61.8935
204,61.0275
205,60.5567
206,60.0069
207,59.4536
208,58.6942
209,58.0481
210,57.1581
211,56.8522
212,56.4433
213,55.0241
214,53.9897
215,53.4742
216,53.2199
217,52.9175
218,52.3436
219,51.1856
220,49.8144
221,48.2646
222,48.0962
223,48.3024
224,48.1787
225,48.1856
226,47.8557
227,47.7801
228,47.5464
229,47.5636
230,47.1924
231,46.6117
232,45.3986
233,44.3127
234,43.6082
235,43.1959
236,42.6804
237,42.0206
238,41.1684
239,41.0034
240,40.5979
241,40.1924
242,40.1340
243,40.8179
