Distance_(pixels),Gray_Value
0,28.5587
1,29.2629
2,30.1925
3,31.2958
4,32.5352
5,33.8357
6,35.1784
7,36.5775
8,38.0563
9,39.4836
10,40.8545
11,42.0376
12,43.2864
13,44.5446
14,45.8498
15,47.1502
16,48.3756
17,49.5164
18,50.3474
19,51.0047
20,51.3709
21,51.6854
22,52.0986
23,52.6056
24,53.3052
25,53.9484
26,54.6714
27,55.3192
28,55.9906
29,56.6385
30,57.2394
31,57.8545
32,58.3333
33,58.7606
34,59.0563
35,59.2019
36,59.4038
37,59.7230
38,60.2066
39,60.8404
40,61.6197
41,62.4038
42,63.1174
43,63.7230
44,64.2488
45,64.7136
46,65.2347
47,65.8451
48,66.4601
49,67.0516
50,67.6385
51,68.3193
52,69.0470
53,69.7042
54,70.2488
55,70.6338
56,71.0047
57,71.3803
58,71.8779
59,72.4366
60,73.0000
61,73.5916
62,74.1408
63,74.7371
64,75.4272
65,76.1878
66,76.9061
67,77.5681
68,78.1455
69,78.6009
70,79.0516
71,79.4178
72,79.8592
73,80.3474
74,80.8967
75,81.3286
76,81.8075
77,82.2160
78,82.5540
79,83.0188
80,83.5399
81,84.1174
82,84.6197
83,85.0939
84,85.6150
85,86.3662
86,87.3099
87,88.4507
88,89.4131
89,89.8920
90,90.0563
91,90.0939
92,90.1784
93,90.1174
94,90.0329
95,89.6901
96,89.4413
97,89.1972
98,89.0188
99,88.8451
100,88.6244
101,88.3521
102,87.9577
103,87.4742
104,87.0235
105,86.4225
106,85.8169
107,85.1455
108,84.5681
109,84.0563
110,83.6432
111,83.2911
112,82.9249
113,82.3005
114,81.6479
115,80.9484
116,80.4131
117,79.9061
118,79.3005
119,78.5775
120,77.8826
121,77.2770
122,76.9296
123,76.6479
124,76.5258
125,76.3474
126,76.1033
127,75.7324
128,75.3991
129,75.0047
130,74.6620
131,74.2864
132,73.7887
133,73.2347
134,72.5962
135,72.0610
136,71.5305
137,70.8263
138,70.0282
139,68.9812
140,67.8357
141,66.5681
142,65.2113
143,63.7183
144,62.0516
145,60.3709
146,58.8732
147,57.7136
148,56.9671
149,56.5070
150,56.0657
151,55.3662
152,54.5540
153,53.4319
154,52.1549
155,50.6103
156,48.7042
157,46.6714
158,44.5164
159,42.5728
160,40.8685
161,39.4836
162,38.4225
163,37.8451
164,37.6854
