Distance_(pixels),Gray_Value
0,70.5614
1,71.1754
2,72.1637
3,72.5556
4,73.5263
5,73.8947
6,74.8187
7,75.2222
8,75.7193
9,76.5029
10,77.3977
11,78.0292
12,78.3977
13,78.6199
14,79.6959
15,79.9825
16,81.5263
17,82.3392
18,83.3099
19,83.8187
20,85.3099
21,85.7368
22,86.6023
23,87.2982
24,87.6608
25,88.2924
26,87.9532
27,88.4620
28,88.6374
29,88.4327
30,90.1988
31,89.7602
32,91.6667
33,92.0468
34,93.4327
35,93.5439
36,94.1696
37,94.0994
38,95.8070
39,95.3743
40,96.3099
41,96.1053
42,96.9240
43,96.6842
44,97.1754
45,96.6374
46,98.0936
47,97.1520
48,97.5848
49,98.5088
50,99.6433
51,101.1345
52,102.4620
53,103.3333
54,103.3392
55,103.0526
56,105.5088
57,107.4854
58,107.9064
59,109.1404
60,111.2573
61,110.9649
62,111.5789
63,111.9006
64,112.1345
65,113.7602
66,116.1404
67,117.3041
68,120.1404
69,120.5497
70,121.9415
71,123.6082
72,125.4035
73,128.4269
74,131.9006
75,131.0409
76,130.6842
77,133.2339
78,132.6667
79,131.2632
80,131.4386
81,132.7251
82,134.3333
83,135.0760
84,135.5556
85,135.0643
86,134.4035
87,135.9357
88,137.9532
89,137.9825
90,136.3684
91,134.6491
92,135.0643
93,135.7895
94,135.7135
95,134.2339
96,133.5965
97,128.6784
98,128.6667
99,124.8889
100,124.5731
101,123.6257
102,122.2866
103,121.8012
104,122.4795
105,122.1404
106,121.0059
107,120.0000
108,119.9357
109,119.1111
110,119.5906
111,118.3041
112,116.2164
113,112.9064
114,112.4678
115,113.9240
116,113.9181
117,111.7602
118,110.5029
119,110.9766
120,106.6725
121,105.5965
122,105.2105
123,102.8655
124,103.5673
125,102.2515
126,100.7778
127,100.3275
128,98.5731
129,97.9181
130,99.7134
131,98.1170
132,97.1053
133,97.3216
134,95.8655
135,95.1988
136,95.1228
137,94.7661
138,94.3918
139,93.7661
140,92.5556
141,92.2807
142,91.1170
143,90.0994
144,89.0000
145,87.0000
146,87.2456
147,86.0702
