Distance_(pixels),Gray_Value
0,38.430
1,44.376
2,38.835
3,40.430
4,37.582
5,39.705
6,37.063
7,46.068
8,36.228
9,40.789
10,37.540
11,42.582
12,38.768
13,47.937
14,43.857
15,51.173
16,40.937
17,52.363
18,47.169
19,52.021
20,47.253
21,54.776
22,59.743
23,53.354
24,53.181
25,57.835
26,57.506
27,58.494
28,57.983
29,60.857
30,69.076
31,59.152
32,61.730
33,64.810
34,63.886
35,65.038
36,62.359
37,67.042
38,66.966
39,65.637
40,64.236
41,72.489
42,64.219
43,71.030
44,69.354
45,73.359
46,62.819
47,75.941
48,65.350
49,71.975
50,69.916
51,74.599
52,73.916
53,79.367
54,75.658
55,79.819
56,75.224
57,78.700
58,78.608
59,80.616
60,78.253
61,81.430
62,82.283
63,85.608
64,79.042
65,89.093
66,80.840
67,85.253
68,81.046
69,93.582
70,81.700
71,89.160
72,80.439
73,90.468
74,86.059
75,91.975
76,86.650
77,87.101
78,99.329
79,103.367
80,92.203
81,100.312
82,101.228
83,102.827
84,88.624
85,98.253
86,101.869
87,112.409
88,108.194
89,95.911
90,106.667
91,117.527
92,104.684
93,120.114
94,101.844
95,122.190
96,97.637
97,130.895
98,106.996
99,115.038
100,112.553
101,130.000
102,136.076
103,122.042
104,125.966
105,121.190
106,112.152
107,114.173
108,105.789
109,121.882
110,129.072
111,123.139
112,136.616
113,113.878
114,122.030
115,120.447
116,119.464
117,119.962
118,122.755
119,120.662
120,121.114
121,122.899
122,124.253
123,106.591
124,131.312
125,100.376
126,119.025
127,119.325
128,126.553
129,104.072
130,120.586
131,125.641
132,101.350
133,127.241
134,94.186
135,130.937
136,109.722
137,119.401
138,116.295
139,118.025
140,108.599
141,99.650
142,118.236
143,108.253
144,110.118
145,104.865
146,108.671
147,98.675
148,97.008
149,116.679
150,92.941
151,109.755
152,95.139
153,92.186
154,91.059
155,93.418
156,91.215
157,88.937
158,93.422
159,88.000
160,87.561
161,87.612
162,88.996
163,86.110
164,76.312
165,73.502
166,88.215
167,74.051
168,74.932
169,74.148
170,69.401
171,70.979
172,66.675
173,67.886
174,63.688
175,70.755
176,63.494
177,72.911
178,69.489
179,68.519
180,60.941
181,66.755
182,62.945
183,63.772
184,59.376
185,63.937
186,58.409
187,60.300
188,58.426
189,59.599
190,55.561
191,71.388
192,50.397
193,66.549
